timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1587995805361,166,Get Historical Currency Rate,200,OK,Currency Converter API 1-676,text,true,,7055,247,763,763,https://currency-converter5.p.rapidapi.com/currency/historical/2018-03-13?amount=10,166,0,0
1587995805362,165,Get Historical Currency Rate,200,OK,Currency Converter API 1-1680,text,true,,7055,247,763,763,https://currency-converter5.p.rapidapi.com/currency/historical/2018-03-13?amount=10,165,0,0
1587995804802,726,Get Currency Rate,200,OK,Currency Converter API 1-1919,text,true,,7674,235,761,761,https://currency-converter5.p.rapidapi.com/currency/convert?amount=2398,726,0,557
1587995805371,159,Get Historical Currency Rate,200,OK,Currency Converter API 1-623,text,true,,7055,247,761,761,https://currency-converter5.p.rapidapi.com/currency/historical/2018-03-13?amount=10,159,0,0
1587995771407,34125,Get Available Currencies,200,OK,Currency Converter API 1-1991,text,true,,2471,220,760,760,https://currency-converter5.p.rapidapi.com/currency/list,34125,0,33827
1587995805369,163,Get Historical Currency Rate,200,OK,Currency Converter API 1-1990,text,true,,7055,247,760,760,https://currency-converter5.p.rapidapi.com/currency/historical/2018-03-13?amount=10,163,0,0
1587995804457,1075,Get Currency Rate,200,OK,Currency Converter API 1-1333,text,true,,7674,235,760,760,https://currency-converter5.p.rapidapi.com/currency/convert?amount=2398,1075,0,911
1587995805377,157,Get Historical Currency Rate,200,OK,Currency Converter API 1-1987,text,true,,7055,247,759,759,https://currency-converter5.p.rapidapi.com/currency/historical/2018-03-13?amount=10,157,0,0
1587995804845,697,Get Currency Rate,200,OK,Currency Converter API 1-1457,text,true,,7674,235,758,758,https://currency-converter5.p.rapidapi.com/currency/convert?amount=2398,697,0,550
1587995803437,2105,Get Historical Currency Rate,200,OK,Currency Converter API 1-1167,text,true,,7055,247,758,758,https://currency-converter5.p.rapidapi.com/currency/historical/2018-03-13?amount=10,2105,0,1761
1587995804848,695,Get Currency Rate,200,OK,Currency Converter API 1-1676,text,true,,7674,235,757,757,https://currency-converter5.p.rapidapi.com/currency/convert?amount=2398,695,0,547
1587995804849,695,Get Currency Rate,200,OK,Currency Converter API 1-1936,text,true,,7674,235,757,757,https://currency-converter5.p.rapidapi.com/currency/convert?amount=2398,695,0,547
1587995804769,776,Get Historical Currency Rate,200,OK,Currency Converter API 1-1951,text,true,,7055,247,757,757,https://currency-converter5.p.rapidapi.com/currency/historical/2018-03-13?amount=10,776,0,600
1587995804811,735,Get Currency Rate,200,OK,Currency Converter API 1-877,text,true,,7674,235,756,756,https://currency-converter5.p.rapidapi.com/currency/convert?amount=2398,735,0,584
1587995770776,34773,Get Available Currencies,200,OK,Currency Converter API 1-1913,text,true,,2471,220,756,756,https://currency-converter5.p.rapidapi.com/currency/list,34773,0,34460
1587995804818,731,Get Currency Rate,200,OK,Currency Converter API 1-1010,text,true,,7674,235,756,756,https://currency-converter5.p.rapidapi.com/currency/convert?amount=2398,731,0,576
1587995804845,704,Get Currency Rate,200,OK,Currency Converter API 1-1823,text,true,,7674,235,756,756,https://currency-converter5.p.rapidapi.com/currency/convert?amount=2398,704,0,551
1587995777054,28504,Get Currency Rate,200,OK,Currency Converter API 1-835,text,true,,7674,235,756,756,https://currency-converter5.p.rapidapi.com/currency/convert?amount=2398,28504,0,13919
1587995804830,728,Get Currency Rate,200,OK,Currency Converter API 1-1287,text,true,,7674,235,756,756,https://currency-converter5.p.rapidapi.com/currency/convert?amount=2398,728,0,570
1587995805401,158,Get Historical Currency Rate,200,OK,Currency Converter API 1-1426,text,true,,7055,247,756,756,https://currency-converter5.p.rapidapi.com/currency/historical/2018-03-13?amount=10,158,0,0
1587995804482,1080,Get Currency Rate,200,OK,Currency Converter API 1-244,text,true,,7674,235,755,755,https://currency-converter5.p.rapidapi.com/currency/convert?amount=2398,1080,0,919
